pair_id,report_a_id,report_b_id,label,pair_type
pair_3999,syn_form_validation_race_00,sdk_api_500_01,not_duplicate,D4
pair_0075,syn_login_csrf_02,syn_login_csrf_08,duplicate,D2
pair_2312,sdk_zindex_conflict_02,sdk_zindex_conflict_03,duplicate,D2
pair_1336,syn_service_worker_stale_04,syn_service_worker_stale_06,duplicate,D2
pair_0602,syn_dropdown_z_index_01,syn_dropdown_z_index_05,duplicate,D2
pair_1706,sdk_stack_overflow_06,sdk_stack_overflow_09,duplicate,D2
pair_0647,syn_react_key_warning_01,syn_react_key_warning_06,duplicate,D2
pair_0635,syn_react_key_warning_00,syn_react_key_warning_02,duplicate,D2
pair_2253,sdk_stale_closure_00,sdk_stale_closure_04,duplicate,D2
pair_4329,syn_drag_drop_ghost_00,syn_clipboard_paste_crash_04,not_duplicate,D4
pair_0556,syn_cors_preflight_01,syn_cors_preflight_03,duplicate,D2
pair_1837,sdk_invalid_date_05,sdk_invalid_date_08,duplicate,D2
pair_0161,syn_dark_mode_flash_02,syn_dark_mode_flash_04,duplicate,D2
pair_3427,syn_cors_preflight_04,gh_4197186884,not_duplicate,D4
pair_0455,syn_form_validation_race_08,syn_form_validation_race_09,duplicate,D2
pair_3629,syn_geolocation_timeout_01,syn_date_picker_timezone_07,not_duplicate,D4
pair_0315,syn_modal_scroll_lock_05,syn_modal_scroll_lock_09,duplicate,D2
pair_3106,syn_animation_jank_04,syn_pdf_export_blank_08,not_duplicate,D4
pair_2376,sdk_layout_shift_05,sdk_layout_shift_07,duplicate,D2
pair_3880,sdk_stale_closure_07,syn_websocket_reconnect_05,not_duplicate,D4
pair_0872,syn_useeffect_loop_01,syn_useeffect_loop_08,duplicate,D2
pair_3712,gh_2373663596,sdk_api_500_08,not_duplicate,D4
pair_2198,sdk_heavy_canvas_05,sdk_heavy_canvas_09,duplicate,D2
pair_0478,syn_image_lazy_load_02,syn_image_lazy_load_08,duplicate,D2
pair_4151,syn_pdf_export_blank_06,gh_1820495894,not_duplicate,D4
pair_2322,sdk_zindex_conflict_03,sdk_zindex_conflict_07,duplicate,D2
pair_1255,syn_video_autoplay_blocked_06,syn_video_autoplay_blocked_07,duplicate,D2
pair_2546,syn_cors_preflight_07,syn_geolocation_timeout_02,not_duplicate,D3
pair_1661,sdk_json_parse_crash_06,sdk_json_parse_crash_09,duplicate,D2
pair_2215,sdk_storage_quota_01,sdk_storage_quota_03,duplicate,D2
pair_0256,syn_search_empty_state_02,syn_search_empty_state_09,duplicate,D2
pair_3743,sdk_unauthorized_401_07,sdk_slow_page_06,not_duplicate,D4
pair_3735,syn_oauth_redirect_loop_08,syn_clipboard_paste_crash_09,not_duplicate,D4
pair_2004,sdk_rate_limit_429_03,sdk_rate_limit_429_04,duplicate,D2
pair_2553,sdk_array_bounds_03,sdk_listener_leak_09,not_duplicate,D3
pair_0119,syn_infinite_scroll_memory_02,syn_infinite_scroll_memory_07,duplicate,D2
pair_4224,sdk_zindex_conflict_08,syn_date_picker_timezone_07,not_duplicate,D4
pair_2819,gh_3838263930,gh_3796774600,not_duplicate,D3
pair_3377,sdk_zindex_conflict_04,sdk_unhandled_promise_04,not_duplicate,D4
pair_3103,gh_3301463020,syn_pdf_export_blank_05,not_duplicate,D4
pair_2597,sdk_json_parse_crash_03,sdk_cors_error_00,not_duplicate,D3
pair_0514,syn_ssr_hydration_mismatch_01,syn_ssr_hydration_mismatch_06,duplicate,D2
pair_1280,syn_chart_resize_overflow_02,syn_chart_resize_overflow_06,duplicate,D2
pair_1830,sdk_invalid_date_04,sdk_invalid_date_05,duplicate,D2
pair_1628,sdk_json_parse_crash_00,sdk_json_parse_crash_09,duplicate,D2
