model,runs,best_f1_mean,best_f1_std,best_threshold_mean,best_threshold_std,best_precision_mean,best_precision_std,best_recall_mean,best_recall_std,roc_auc_mean,roc_auc_std,recall_at_0.90_mean,recall_at_0.90_std
qwen3-embedding,3,0.9907,0.0001,0.73,0.0,0.9856,0.0,0.9957,0.0002,0.9987,0.0,0.5795,0.0052
bge-m3,3,0.9868,0.0002,0.6867,0.0094,0.9805,0.0027,0.9933,0.0033,0.998,0.0,0.2886,0.0016
mxbai-embed-large,3,0.9854,0.0002,0.7367,0.0094,0.982,0.0028,0.9888,0.0024,0.9978,0.0,0.4747,0.0026
snowflake-arctic-embed,3,0.979,0.0006,0.6567,0.0189,0.9781,0.0074,0.9801,0.0076,0.9972,0.0,0.2221,0.0012
all-minilm,3,0.9785,0.0003,0.62,0.0,0.9767,0.0,0.9803,0.0006,0.997,0.0,0.3717,0.0034
nomic-embed-text,3,0.9739,0.0004,0.73,0.0,0.9651,0.0,0.9829,0.0008,0.9942,0.0001,0.3567,0.0008
tfidf_baseline,3,0.9726,0.0002,0.17,0.0,0.9656,0.0002,0.9798,0.0006,0.9956,0.0,0.0008,0.0
bm25_baseline,3,0.9511,0.0,0.1333,0.0047,0.936,0.0041,0.9667,0.0042,0.9815,0.0,0.0008,0.0
bm25f_baseline,3,0.9233,0.0005,0.09,0.0,0.9168,0.0001,0.93,0.0009,0.9686,0.0002,0.0069,0.0
bm25f_tuned,3,0.9233,0.0004,0.05,0.0,0.9143,0.0002,0.9324,0.0007,0.959,0.0002,0.0,0.0
