pair_id,model,cosine_score,label
bz_pair_0000,all-minilm,0.584484,duplicate
bz_pair_0001,all-minilm,0.662873,duplicate
bz_pair_0002,all-minilm,0.533131,duplicate
bz_pair_0003,all-minilm,0.168337,duplicate
bz_pair_0004,all-minilm,0.13852,duplicate
bz_pair_0005,all-minilm,0.10827,not_duplicate
bz_pair_0006,all-minilm,0.139003,not_duplicate
bz_pair_0007,all-minilm,0.738597,duplicate
bz_pair_0008,all-minilm,0.131616,not_duplicate
bz_pair_0009,all-minilm,0.580942,duplicate
bz_pair_0010,all-minilm,0.736708,duplicate
bz_pair_0011,all-minilm,0.651123,duplicate
bz_pair_0012,all-minilm,0.252017,not_duplicate
bz_pair_0013,all-minilm,0.584302,duplicate
bz_pair_0014,all-minilm,0.123096,not_duplicate
bz_pair_0015,all-minilm,0.641223,duplicate
bz_pair_0016,all-minilm,0.565316,duplicate
bz_pair_0017,all-minilm,0.723866,duplicate
bz_pair_0018,all-minilm,0.844581,duplicate
bz_pair_0019,all-minilm,0.670868,duplicate
bz_pair_0020,all-minilm,0.809538,duplicate
bz_pair_0021,all-minilm,0.582877,duplicate
bz_pair_0022,all-minilm,0.495159,duplicate
bz_pair_0023,all-minilm,0.097083,not_duplicate
bz_pair_0024,all-minilm,0.779253,duplicate
bz_pair_0025,all-minilm,0.735465,duplicate
bz_pair_0026,all-minilm,0.171219,not_duplicate
bz_pair_0027,all-minilm,0.370944,duplicate
bz_pair_0028,all-minilm,1.0,duplicate
bz_pair_0029,all-minilm,0.599781,duplicate
bz_pair_0030,all-minilm,0.223046,not_duplicate
bz_pair_0031,all-minilm,0.62618,duplicate
bz_pair_0032,all-minilm,0.589397,duplicate
bz_pair_0033,all-minilm,0.212395,duplicate
bz_pair_0034,all-minilm,0.208396,not_duplicate
bz_pair_0035,all-minilm,0.13384,not_duplicate
bz_pair_0036,all-minilm,0.682121,duplicate
bz_pair_0037,all-minilm,0.122931,not_duplicate
bz_pair_0038,all-minilm,0.058983,not_duplicate
bz_pair_0039,all-minilm,0.867872,duplicate
bz_pair_0040,all-minilm,0.636567,duplicate
bz_pair_0041,all-minilm,0.437107,duplicate
bz_pair_0042,all-minilm,0.776859,duplicate
bz_pair_0043,all-minilm,0.558017,duplicate
bz_pair_0044,all-minilm,0.154105,not_duplicate
bz_pair_0045,all-minilm,0.529845,duplicate
bz_pair_0046,all-minilm,0.793281,duplicate
bz_pair_0047,all-minilm,0.538539,duplicate
bz_pair_0048,all-minilm,0.139457,not_duplicate
