model,threshold,precision,recall,f1,tp,fp,fn,tn
all-minilm_latest,0.5,0.9177,0.9967,0.9556,2432,218,8,1757
all-minilm_latest,0.51,0.9226,0.9963,0.958,2431,204,9,1771
all-minilm_latest,0.52,0.93,0.9963,0.962,2431,183,9,1792
all-minilm_latest,0.53,0.9368,0.9959,0.9654,2430,164,10,1811
all-minilm_latest,0.54,0.943,0.9959,0.9687,2430,147,10,1828
all-minilm_latest,0.55,0.9476,0.9939,0.9702,2425,134,15,1841
all-minilm_latest,0.56,0.9531,0.9922,0.9723,2421,119,19,1856
all-minilm_latest,0.57,0.9576,0.9906,0.9738,2417,107,23,1868
all-minilm_latest,0.58,0.9602,0.9898,0.9748,2415,100,25,1875
all-minilm_latest,0.59,0.9652,0.9877,0.9763,2410,87,30,1888
all-minilm_latest,0.6,0.9694,0.9861,0.9777,2406,76,34,1899
all-minilm_latest,0.61,0.9721,0.984,0.978,2401,69,39,1906
all-minilm_latest,0.62,0.9771,0.9807,0.9789,2393,56,47,1919
all-minilm_latest,0.63,0.9799,0.9779,0.9789,2386,49,54,1926
all-minilm_latest,0.64,0.9834,0.9734,0.9784,2375,40,65,1935
all-minilm_latest,0.65,0.9895,0.9684,0.9789,2363,25,77,1950
all-minilm_latest,0.66,0.9916,0.9639,0.9776,2352,20,88,1955
all-minilm_latest,0.67,0.9919,0.957,0.9741,2335,19,105,1956
all-minilm_latest,0.68,0.9923,0.9516,0.9715,2322,18,118,1957
all-minilm_latest,0.69,0.9935,0.9402,0.9661,2294,15,146,1960
all-minilm_latest,0.7,0.9952,0.9328,0.963,2276,11,164,1964
all-minilm_latest,0.71,0.9969,0.9205,0.9572,2246,7,194,1968
all-minilm_latest,0.72,0.9991,0.9082,0.9515,2216,2,224,1973
all-minilm_latest,0.73,0.9991,0.8971,0.9454,2189,2,251,1973
all-minilm_latest,0.74,0.9991,0.8811,0.9364,2150,2,290,1973
all-minilm_latest,0.75,0.9991,0.8664,0.928,2114,2,326,1973
all-minilm_latest,0.76,0.999,0.8488,0.9178,2071,2,369,1973
all-minilm_latest,0.77,0.9995,0.832,0.9081,2030,1,410,1974
all-minilm_latest,0.78,0.9995,0.8078,0.8935,1971,1,469,1974
all-minilm_latest,0.79,0.9995,0.7857,0.8798,1917,1,523,1974
all-minilm_latest,0.8,0.9995,0.7615,0.8644,1858,1,582,1974
all-minilm_latest,0.81,1.0,0.7311,0.8447,1784,0,656,1975
all-minilm_latest,0.82,1.0,0.7053,0.8272,1721,0,719,1975
all-minilm_latest,0.83,1.0,0.6705,0.8027,1636,0,804,1975
all-minilm_latest,0.84,1.0,0.6361,0.7776,1552,0,888,1975
all-minilm_latest,0.85,1.0,0.598,0.7484,1459,0,981,1975
all-minilm_latest,0.86,1.0,0.5582,0.7165,1362,0,1078,1975
all-minilm_latest,0.87,1.0,0.518,0.6825,1264,0,1176,1975
all-minilm_latest,0.88,1.0,0.4705,0.6399,1148,0,1292,1975
all-minilm_latest,0.89,1.0,0.4246,0.5961,1036,0,1404,1975
all-minilm_latest,0.9,1.0,0.3762,0.5468,918,0,1522,1975
all-minilm_latest,0.91,1.0,0.3262,0.492,796,0,1644,1975
all-minilm_latest,0.92,1.0,0.2734,0.4294,667,0,1773,1975
all-minilm_latest,0.93,1.0,0.2242,0.3663,547,0,1893,1975
all-minilm_latest,0.94,1.0,0.1615,0.2781,394,0,2046,1975
all-minilm_latest,0.95,1.0,0.1,0.1818,244,0,2196,1975
all-minilm_latest,0.96,1.0,0.0529,0.1004,129,0,2311,1975
all-minilm_latest,0.97,1.0,0.0201,0.0394,49,0,2391,1975
all-minilm_latest,0.98,1.0,0.0049,0.0098,12,0,2428,1975
all-minilm_latest,0.99,0.0,0.0,0.0,0,0,2440,1975
bge-m3_latest,0.5,0.6835,1.0,0.812,2475,1146,0,854
bge-m3_latest,0.51,0.709,1.0,0.8297,2475,1016,0,984
bge-m3_latest,0.52,0.7325,1.0,0.8456,2475,904,0,1096
bge-m3_latest,0.53,0.7606,1.0,0.864,2475,779,0,1221
bge-m3_latest,0.54,0.7815,1.0,0.8773,2475,692,0,1308
bge-m3_latest,0.55,0.8049,1.0,0.8919,2475,600,0,1400
bge-m3_latest,0.56,0.8242,1.0,0.9036,2475,528,0,1472
bge-m3_latest,0.57,0.8462,1.0,0.9167,2475,450,0,1550
bge-m3_latest,0.58,0.8638,0.9996,0.9268,2474,390,1,1610
bge-m3_latest,0.59,0.8833,0.9996,0.9378,2474,327,1,1673
bge-m3_latest,0.6,0.9022,0.9992,0.9482,2473,268,2,1732
bge-m3_latest,0.61,0.9139,0.9992,0.9546,2473,233,2,1767
bge-m3_latest,0.62,0.9303,0.9984,0.9632,2471,185,4,1815
bge-m3_latest,0.63,0.9453,0.9984,0.9711,2471,143,4,1857
bge-m3_latest,0.64,0.9581,0.998,0.9776,2470,108,5,1892
bge-m3_latest,0.65,0.9652,0.9968,0.9807,2467,89,8,1911
bge-m3_latest,0.66,0.9697,0.996,0.9827,2465,77,10,1923
bge-m3_latest,0.67,0.9774,0.9956,0.9864,2464,57,11,1943
bge-m3_latest,0.68,0.9832,0.9943,0.9888,2461,42,14,1958
bge-m3_latest,0.69,0.9863,0.9915,0.9889,2454,34,21,1966
bge-m3_latest,0.7,0.9883,0.9887,0.9885,2447,29,28,1971
bge-m3_latest,0.71,0.9899,0.9859,0.9879,2440,25,35,1975
bge-m3_latest,0.72,0.991,0.983,0.987,2433,22,42,1978
bge-m3_latest,0.73,0.9922,0.9762,0.9841,2416,19,59,1981
bge-m3_latest,0.74,0.9946,0.9685,0.9814,2397,13,78,1987
bge-m3_latest,0.75,0.9958,0.9539,0.9744,2361,10,114,1990
bge-m3_latest,0.76,0.9966,0.9406,0.9678,2328,8,147,1992
bge-m3_latest,0.77,0.9969,0.9232,0.9587,2285,7,190,1993
bge-m3_latest,0.78,0.9978,0.8978,0.9451,2222,5,253,1995
bge-m3_latest,0.79,0.9986,0.8752,0.9328,2166,3,309,1997
bge-m3_latest,0.8,0.999,0.8428,0.9143,2086,2,389,1998
bge-m3_latest,0.81,0.9995,0.8085,0.8939,2001,1,474,1999
bge-m3_latest,0.82,1.0,0.7745,0.873,1917,0,558,2000
bge-m3_latest,0.83,1.0,0.7152,0.8339,1770,0,705,2000
bge-m3_latest,0.84,1.0,0.6651,0.7988,1646,0,829,2000
bge-m3_latest,0.85,1.0,0.6121,0.7594,1515,0,960,2000
bge-m3_latest,0.86,1.0,0.5507,0.7103,1363,0,1112,2000
bge-m3_latest,0.87,1.0,0.4848,0.6531,1200,0,1275,2000
bge-m3_latest,0.88,1.0,0.421,0.5926,1042,0,1433,2000
bge-m3_latest,0.89,1.0,0.3612,0.5307,894,0,1581,2000
bge-m3_latest,0.9,1.0,0.2889,0.4483,715,0,1760,2000
bge-m3_latest,0.91,1.0,0.2267,0.3696,561,0,1914,2000
bge-m3_latest,0.92,1.0,0.1681,0.2878,416,0,2059,2000
bge-m3_latest,0.93,1.0,0.1119,0.2013,277,0,2198,2000
