model,threshold,precision,recall,f1,tp,fp,fn,tn
all-minilm_latest,0.5,0.9244,0.9967,0.9592,2432,199,8,1724
all-minilm_latest,0.51,0.9297,0.9967,0.962,2432,184,8,1739
all-minilm_latest,0.52,0.9354,0.9963,0.9649,2431,168,9,1755
all-minilm_latest,0.53,0.9397,0.9955,0.9668,2429,156,11,1767
all-minilm_latest,0.54,0.947,0.9955,0.9706,2429,136,11,1787
all-minilm_latest,0.55,0.9502,0.993,0.9711,2423,127,17,1796
all-minilm_latest,0.56,0.9539,0.9914,0.9723,2419,117,21,1806
all-minilm_latest,0.57,0.9568,0.9906,0.9734,2417,109,23,1814
all-minilm_latest,0.58,0.9614,0.9898,0.9754,2415,97,25,1826
all-minilm_latest,0.59,0.9651,0.9869,0.9759,2408,87,32,1836
all-minilm_latest,0.6,0.9685,0.984,0.9762,2401,78,39,1845
all-minilm_latest,0.61,0.9713,0.9832,0.9772,2399,71,41,1852
all-minilm_latest,0.62,0.9767,0.9795,0.9781,2390,57,50,1866
all-minilm_latest,0.63,0.9783,0.977,0.9777,2384,53,56,1870
all-minilm_latest,0.64,0.981,0.9734,0.9772,2375,46,65,1877
all-minilm_latest,0.65,0.9841,0.9664,0.9752,2358,38,82,1885
all-minilm_latest,0.66,0.9857,0.9631,0.9743,2350,34,90,1889
all-minilm_latest,0.67,0.9886,0.957,0.9725,2335,27,105,1896
all-minilm_latest,0.68,0.9898,0.9512,0.9701,2321,24,119,1899
all-minilm_latest,0.69,0.9914,0.9398,0.9649,2293,20,147,1903
all-minilm_latest,0.7,0.9926,0.9303,0.9604,2270,17,170,1906
all-minilm_latest,0.71,0.9951,0.9213,0.9568,2248,11,192,1912
all-minilm_latest,0.72,0.9964,0.9094,0.9509,2219,8,221,1915
all-minilm_latest,0.73,0.9964,0.8963,0.9437,2187,8,253,1915
all-minilm_latest,0.74,0.9968,0.8852,0.9377,2160,7,280,1916
all-minilm_latest,0.75,0.9976,0.868,0.9283,2118,5,322,1918
all-minilm_latest,0.76,0.9976,0.8463,0.9157,2065,5,375,1918
all-minilm_latest,0.77,0.9975,0.8258,0.9036,2015,5,425,1918
all-minilm_latest,0.78,0.998,0.8033,0.8901,1960,4,480,1919
all-minilm_latest,0.79,0.9979,0.7799,0.8755,1903,4,537,1919
all-minilm_latest,0.8,0.9984,0.759,0.8624,1852,3,588,1920
all-minilm_latest,0.81,0.9994,0.7279,0.8423,1776,1,664,1922
all-minilm_latest,0.82,0.9994,0.7004,0.8236,1709,1,731,1922
all-minilm_latest,0.83,0.9994,0.6684,0.8011,1631,1,809,1922
all-minilm_latest,0.84,0.9994,0.6369,0.778,1554,1,886,1922
all-minilm_latest,0.85,0.9993,0.6012,0.7508,1467,1,973,1922
all-minilm_latest,0.86,0.9993,0.5607,0.7183,1368,1,1072,1922
all-minilm_latest,0.87,0.9992,0.5164,0.6809,1260,1,1180,1922
all-minilm_latest,0.88,0.9991,0.4701,0.6394,1147,1,1293,1922
all-minilm_latest,0.89,0.999,0.4156,0.587,1014,1,1426,1922
all-minilm_latest,0.9,0.9989,0.368,0.5379,898,1,1542,1922
all-minilm_latest,0.91,0.9987,0.3209,0.4857,783,1,1657,1922
all-minilm_latest,0.92,0.9985,0.2725,0.4282,665,1,1775,1922
all-minilm_latest,0.93,0.9982,0.2225,0.3639,543,1,1897,1922
all-minilm_latest,0.94,0.9974,0.1602,0.2761,391,1,2049,1922
all-minilm_latest,0.95,0.9959,0.1,0.1818,244,1,2196,1922
all-minilm_latest,0.96,0.9922,0.052,0.0989,127,1,2313,1922
all-minilm_latest,0.97,0.98,0.0201,0.0394,49,1,2391,1922
all-minilm_latest,0.98,0.9231,0.0049,0.0098,12,1,2428,1922
all-minilm_latest,0.99,0.0,0.0,0.0,0,0,2440,1923
bge-m3_latest,0.5,0.7073,1.0,0.8286,2475,1024,0,976
bge-m3_latest,0.51,0.7351,1.0,0.8473,2475,892,0,1108
bge-m3_latest,0.52,0.7583,1.0,0.8625,2475,789,0,1211
bge-m3_latest,0.53,0.7815,1.0,0.8773,2475,692,0,1308
bge-m3_latest,0.54,0.8065,1.0,0.8929,2475,594,0,1406
bge-m3_latest,0.55,0.83,1.0,0.9071,2475,507,0,1493
bge-m3_latest,0.56,0.8467,1.0,0.917,2475,448,0,1552
bge-m3_latest,0.57,0.863,1.0,0.9264,2475,393,0,1607
bge-m3_latest,0.58,0.8801,0.9996,0.9361,2474,337,1,1663
bge-m3_latest,0.59,0.8957,0.9996,0.9448,2474,288,1,1712
bge-m3_latest,0.6,0.9102,0.9992,0.9526,2473,244,2,1756
bge-m3_latest,0.61,0.921,0.9992,0.9585,2473,212,2,1788
bge-m3_latest,0.62,0.9367,0.998,0.9664,2470,167,5,1833
bge-m3_latest,0.63,0.9464,0.998,0.9715,2470,140,5,1860
bge-m3_latest,0.64,0.9544,0.998,0.9757,2470,118,5,1882
bge-m3_latest,0.65,0.9607,0.9976,0.9788,2469,101,6,1899
bge-m3_latest,0.66,0.9667,0.9968,0.9815,2467,85,8,1915
bge-m3_latest,0.67,0.9747,0.9968,0.9856,2467,64,8,1936
bge-m3_latest,0.68,0.9786,0.9956,0.987,2464,54,11,1946
bge-m3_latest,0.69,0.9805,0.9931,0.9868,2458,49,17,1951
bge-m3_latest,0.7,0.9843,0.9895,0.9869,2449,39,26,1961
bge-m3_latest,0.71,0.987,0.9851,0.986,2438,32,37,1968
bge-m3_latest,0.72,0.989,0.9802,0.9846,2426,27,49,1973
bge-m3_latest,0.73,0.9906,0.9754,0.9829,2414,23,61,1977
bge-m3_latest,0.74,0.9938,0.9665,0.9799,2392,15,83,1985
bge-m3_latest,0.75,0.9945,0.9527,0.9732,2358,13,117,1987
bge-m3_latest,0.76,0.9949,0.9378,0.9655,2321,12,154,1988
bge-m3_latest,0.77,0.9952,0.9228,0.9577,2284,11,191,1989
bge-m3_latest,0.78,0.996,0.8986,0.9448,2224,9,251,1991
