store,scale,insert_time_s,query_p50_ms,query_p95_ms,query_p99_ms,storage_mb
pgvector,1000,1.23,2.78,2.91,3.22,13.3
chromadb,1000,0.49,2.36,2.48,2.58,8.8
sqlite-vec,1000,0.23,1.62,1.72,1.75,4.1
pgvector,10000,21.38,2.78,5.61,7.53,131.8
chromadb,10000,6.69,3.13,3.46,3.85,46.8
sqlite-vec,10000,2.48,16.5,16.99,19.05,40.6
pgvector,50000,554.89,8.34,15.42,32.84,658.8
chromadb,50000,44.74,3.58,3.89,4.06,215.8
sqlite-vec,50000,13.09,87.16,89.99,93.38,198.8
pgvector,100000,1547.85,9.49,15.7,27.02,1317.5
chromadb,100000,99.6,3.78,4.47,5.21,427.2
sqlite-vec,100000,26.5,164.33,175.98,183.07,397.6
